DateTime,TrialStartTime,TimeSinceStart,Date,Day_numrecord,Time,Trial,Treatment,Cline,Cline_seg,Urch_STILL,Urch_MOVING,Urch_WALL,urch_GRAZE,urch_TOUCHKELP,urch_CREVICE,TOTAL_clinesegURCH,Pyc_position,Pyc_moving,Pyc_touching_urch,Pyc_eating_urch,Notes
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,9,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,9,R,2,0,0,0,0,0,2,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,10,L,2,0,0,1,0,1,2,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,10,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,11,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,11,R,1,0,0,1,0,0,1,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,12,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:40:00,7/07/2023 09:25:00,0:15:00,7/7/23,1_1,9:40,1,Caged 1,12,R,3,0,1,0,0,0,3,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,1,L ,4,0,0,3,1,0,4,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,1,R,1,0,0,0,0,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,2,L,1,0,0,0,1,0,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,2,R,1,0,0,0,0,1,1,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,3,L,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,3,R,0,0,0,0,0,0,0,0,0,0,0,
7/07/2023 09:48:00,7/07/2023 09:25:00,0:23:00,7/7/23,1_1,9:48,1,Active 1,4,L,0,0,0,0,0,0,0,0,0,0,0,
